1 Could I have an iced cordusio , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
3 No , that is it .	So that would be a grande iced coffee americano . Is that right ?|So that would be a grande iced coffee americano . Did I get that right ?|Your order is a grande iced coffee americano . Is that right ?|Your order is a grande iced coffee americano . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have an iced cinnamon dolce latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a short iced cinnamon dolce latte . Is that right ?|So that would be a short iced cinnamon dolce latte . Did I get that right ?|Your order is a short iced cinnamon dolce latte . Is that right ?|Your order is a short iced cinnamon dolce latte . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get an iced salted caramel mocha , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That is it .	So that would be a tall iced salted caramel mocha . Is that right ?|So that would be a tall iced salted caramel mocha . Did I get that right ?|Your order is a tall iced salted caramel mocha . Is that right ?|Your order is a tall iced salted caramel mocha . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have an iced latte macchiato , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 I am good .	So that would be a short iced latte macchiato . Is that right ?|So that would be a short iced latte macchiato . Did I get that right ?|Your order is a short iced latte macchiato . Is that right ?|Your order is a short iced latte macchiato . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get an iced cordusio ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No .	So that would be a tall iced cordusio . Is that right ?|So that would be a tall iced cordusio . Did I get that right ?|Your order is a tall iced cordusio . Is that right ?|Your order is a tall iced cordusio . Did I get that right ?
4 That sounds right !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get an iced caramel macchiato , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That is it .	So that would be a grande iced caramel macchiato . Is that right ?|So that would be a grande iced caramel macchiato . Did I get that right ?|Your order is a grande iced caramel macchiato . Is that right ?|Your order is a grande iced caramel macchiato . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get a chai tea latte , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink .	So that would be a grande chai tea latte . Is that right ?|So that would be a grande chai tea latte . Did I get that right ?|Your order is a grande chai tea latte . Is that right ?|Your order is a grande chai tea latte . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 An iced coffee americano , please .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thank you .	So that would be a short iced coffee americano . Is that right ?|So that would be a short iced coffee americano . Did I get that right ?|Your order is a short iced coffee americano . Is that right ?|Your order is a short iced coffee americano . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I have a raspberry lemonade ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thanks .	So that would be a tall raspberry lemonade . Is that right ?|So that would be a tall raspberry lemonade . Did I get that right ?|Your order is a tall raspberry lemonade . Is that right ?|Your order is a tall raspberry lemonade . Did I get that right ?
4 Yeah .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I have a salted caramel mocha ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
